sample,ngram-s1,ngram-s2,ngram-s,ngram-n1,ngram-n2,ngram-n,ngram-i1,ngram-i2,ngram-i,lstm-s1,lstm-s2,lstm-s,lstm-n1,lstm-n2,lstm-n,lstm-i1,lstm-i2,lstm-i,dockercomp-s1,dockercomp-s2,dockercomp-s,dockercomp-n1,dockercomp-n2,dockercomp-n,dockercomp-i1,dockercomp-i2,dockercomp-i
1,2,2,2,2,2,2,3,3,3,1,2,1.5,2,2,2,2,3,2.5,1,2,1.5,3,1,2,3,2,2.5
2,1,1,1,4,2,3,3,3,3,1,2,1.5,2,3,2.5,2,2,2,4,4,4,4,4,4,4,4,4
3,2,2,2,4,3,3.5,3,3,3,2,2,2,3,4,3.5,3,4,3.5,3,2,2.5,4,4,4,4,4,4
4,1,1,1,2,1,1.5,2,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4
5,2,2,2,1,2,1.5,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3
6,1,1,1,1,1,1,3,3,3,1,1,1,2,1,1.5,1,2,1.5,1,1,1,1,1,1,1,2,1.5
7,2,2,2,2,2,2,2,2,2,1,1,1,2,3,2.5,2,3,2.5,2,3,2.5,4,3,3.5,4,3,3.5
8,2,2,2,3,3,3,3,3,3,1,2,1.5,2,3,2.5,2,3,2.5,3,3,3,4,3,3.5,4,4,4
9,1,1,1,2,2,2,3,2,2.5,1,1,1,2,2,2,2,2,2,1,1,1,3,2,2.5,3,3,3
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4
11,1,1,1,4,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2.5
12,1,1,1,1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1.5,2,2,2
13,2,2,2,2,1,1.5,3,2,2.5,2,2,2,2,2,2,2,3,2.5,1,2,1.5,1,1,1,2,2,2
14,1,1,1,1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,1,1,2,1.5,1,2,1.5,2,3,2.5
15,1,1,1,1,1,1,2,1,1.5,1,1,1,2,1,1.5,2,2,2,3,3,3,4,4,4,4,4,4
16,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,2,2
17,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1.5,2,3,2.5,1,2,1.5,1,2,1.5,1,3,2
18,1,1,1,1,2,1.5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1.5
19,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4
20,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,2,3,2.5,1,2,1.5,1,1,1,1,2,1.5
21,1,1,1,1,2,1.5,3,3,3,1,1,1,2,2,2,2,2,2,1,2,1.5,1,2,1.5,1,2,1.5
22,2,2,2,4,2,3,3,3,3,1,2,1.5,2,2,2,2,3,2.5,3,3,3,4,4,4,4,4,4
23,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3
24,2,2,2,4,2,3,3,3,3,1,2,1.5,2,2,2,2,3,2.5,4,4,4,4,4,4,4,4,4
25,1,1,1,1,1,1,2,1,1.5,1,1,1,2,1,1.5,1,2,1.5,1,1,1,2,3,2.5,2,4,3
26,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,4,3,3,3,3,4,4,4,4,4,4
27,2,2,2,4,2,3,3,3,3,1,2,1.5,2,3,2.5,2,3,2.5,4,4,4,4,4,4,4,4,4
28,2,2,2,2,2,2,3,3,3,1,2,1.5,2,3,2.5,2,3,2.5,4,4,4,4,4,4,4,4,4
